case,seats,stack_bb,buckets,rollout_samples,recall,pruning,traverser,sweeps,status,traversals,infosets,solver_memory_bytes,solver_elapsed_seconds,process_wall_seconds,process_peak_rss_bytes,hand_updates,strategy_blocks,game_fingerprint,warm_artifact_input_sha256,warm_artifact_output_sha256
tournament,6,50,256,512,bucket-history,none,range-vector,100,completed,600,432718,124220325,10.879317583,11.63,397492224,399600,432718,a31e08f41b36e46fcf340e432d27209dea872bcfa21e3104ee6037255e0af512,6ade66645ddb7843bb5842bd581e6f56210db7a965d506176a29e446a9c9956e,9b527d14641230433aee76fdb7422401eee2442d5a08bbf4be3087fe2d4e93b2
cash,6,100,256,2048,bucket-history,none,range-vector,100,completed,600,392688,114348381,22.852891459,23.02,371589120,399600,392688,c35365b8e6ab8df1bbacdd9a6a862c527205bc048c58fa7db8b05f81bf3bc55b,b4ab6b4868e721c0fafff759898296240982f4c35d92de1fcbb1169601d6ca14,dcf22e57c7ff5de2de488140c4d030f77c27d1bf697e57f4700bb1547e70dffa
